"","stcd2","cycle","stateabrev","stcd","dem_share","dem_share_imputed","dpres","incumb","winner_dem","uncontested","votes_dem","votes_rep","votes_dem_est","votes_rep_est","chamber"
"160","1970s_1807",1972,"LA","1807",NA,0.646329272726106,32.43,1,1,1,0,0,78405.8616778543,42903.6085665489,"us_house"
"161","1970s_1808",1972,"LA","1808",0.82391856928873,0.82391856928873,37.21,0,1,0,72607,15517,72607,15517,"us_house"
"162","1970s_2101",1972,"MA","2101",0,0.374126641958546,51.19,-1,0,1,0,159282,60009.3775405141,100389.190244892,"us_house"
"163","1970s_2102",1972,"MA","2102",1,0.636049143939215,51.82,1,1,1,137616,0,87912.4740582166,50304.0063755941,"us_house"
"164","1970s_2103",1972,"MA","2103",1,0.642752134400777,54.13,1,1,1,156703,0,100926.190211956,56095.7546564918,"us_house"
"165","1970s_2104",1972,"MA","2104",0.52439627972201,0.52439627972201,55.7,1,1,0,101714,92250,101714,92250,"us_house"
"166","1970s_2105",1972,"MA","2105",0.455541000014719,0.455541000014719,53.04,0,0,0,92847,110970,92847,110970,"us_house"
"167","1970s_2106",1972,"MA","2106",0.640582727281065,0.640582727281065,52.75,1,1,0,139697,78381,139697,78381,"us_house"
"168","1970s_2107",1972,"MA","2107",0.67748935103984,0.67748935103984,57.12,1,1,0,135193,64357,135193,64357,"us_house"
"169","1970s_2108",1972,"MA","2108",1,0.706823618082016,66.07,1,1,1,142470,0,101050.735388499,41913.8356917698,"us_house"
"170","1970s_2109",1972,"MA","2109",0.743390168290523,0.743390168290523,59.43,0,NA,0,67143,23177,67143,23177,"us_house"
"171","1970s_2110",1972,"MA","2110",0,0.31605880423157,50.37,-1,0,1,0,161708,51032.237238753,110432.137603856,"us_house"
"172","1970s_2111",1972,"MA","2111",1,0.660520087308065,56.61,1,1,1,154397,0,102029.303020054,52438.8274434298,"us_house"
"173","1970s_2112",1972,"MA","2112",0.502385809766882,0.502385809766882,48.23,0,1,0,117710,116592,117710,116592,"us_house"
"174","1970s_2001",1972,"MD","2001",0.295096558200302,0.295096558200302,28.4,-1,0,0,36139,86326,36139,86326,"us_house"
"175","1970s_2002",1972,"MD","2002",0.657968154055424,0.657968154055424,31.68,1,1,0,123346,64119,123346,64119,"us_house"
"176","1970s_2003",1972,"MD","2003",0.697143071104954,0.697143071104954,32.72,1,1,0,93093,40442,93093,40442,"us_house"
"177","1970s_2004",1972,"MD","2004",0.4061908541425,0.4061908541425,29.5,0,0,0,59877,87534,59877,87534,"us_house"
"178","1970s_2005",1972,"MD","2005",0.370803480935239,0.370803480935239,43.3,-1,0,0,53049,90016,53049,90016,"us_house"
"179","1970s_2006",1972,"MD","2006",0.648071184352007,0.648071184352007,29.37,1,1,0,107283,58259,107283,58259,"us_house"
"180","1970s_2007",1972,"MD","2007",0.800468339307049,0.800468339307049,73.34,1,1,0,83749,20876,83749,20876,"us_house"
"181","1970s_2008",1972,"MD","2008",0.360974315530772,0.360974315530772,43.17,-1,0,0,77551,137287,77551,137287,"us_house"
"182","1970s_1901",1972,"ME","1901",0.593625571111397,0.593625571111397,38.58,1,1,0,129408,88588,129408,88588,"us_house"
"183","1970s_1902",1972,"ME","1902",0.456131822019804,0.456131822019804,38.42,0,0,0,89135,106280,89135,106280,"us_house"
"184","1970s_2201",1972,"MI","2201",0.890836831718086,0.890836831718086,85.79,1,1,0,131353,16096,131353,16096,"us_house"
"185","1970s_2202",1972,"MI","2202",0.435660328921855,0.435660328921855,44.49,-1,0,0,79762,103321,79762,103321,"us_house"
"186","1970s_2203",1972,"MI","2203",0.402364872201351,0.402364872201351,37.76,-1,0,0,74114,110082,74114,110082,"us_house"
"187","1970s_2204",1972,"MI","2204",0.327480251140172,0.327480251140172,32.36,-1,0,0,54141,111185,54141,111185,"us_house"
"188","1970s_2205",1972,"MI","2205",0.38143903065369,0.38143903065369,38.96,-1,1,0,72782,118027,72782,118027,"us_house"
"189","1970s_2206",1972,"MI","2206",0.493630589760207,0.493630589760207,41.12,-1,0,0,95209,97666,95209,97666,"us_house"
"190","1970s_2207",1972,"MI","2207",0.298907294284544,0.298907294284544,45.81,-1,0,0,48883,114656,48883,114656,"us_house"
"191","1970s_2208",1972,"MI","2208",0.39931330984654,0.39931330984654,38.05,-1,0,0,66873,100597,66873,100597,"us_house"
"192","1970s_2209",1972,"MI","2209",0.298327886941391,0.298327886941391,33.1,-1,0,0,56236,132268,56236,132268,"us_house"
"193","1970s_2210",1972,"MI","2210",0.316302100643882,0.316302100643882,35.88,-1,0,0,56149,121368,56149,121368,"us_house"
